"Gender","trill","nice","conf","status","age","predictedOrigin","masculinity","speakerID","speaker_gender"
"male",0,3,3,-0.807753124740956,2,"Other",4,"F2","female"
"male",1,4,3,-1.37866358414191,3,"Other",2,"F2","female"
"male",0,5,5,0.194824341871308,4,"Quito",2,"M2","male"
"male",1,3,4,-0.492425776483655,4,"Other",3,"F1","female"
"male",0,5,4,-0.120503006385993,4,"Loja",2,"M1","male"
"male",0,4,3,-0.23684266534,5,"Loja",3,"F1","female"
"male",1,4,4,-0.376086117529648,4,"Loja",2,"M2","male"
"male",1,4,5,0.194824341871308,4,"Loja",2,"M1","male"
"male",0,3,3,-1.37866358414191,3,"Other",4,"F2","female"
"male",1,3,3,-1.06333623588461,3,"Quito",4,"F2","female"
"male",0,3,2,0.450407453014963,3,"Loja",2,"M2","male"
"male",1,4,3,-1.12308047299826,4,"Other",4,"F1","female"
"male",0,5,5,-1.37866358414191,3,"Cuenca",3,"M1","male"
"male",0,3,4,-1.37866358414191,5,"Other",2,"F1","female"
"male",1,5,5,0.765734801272264,4,"Quito",2,"M2","male"
"male",1,5,3,0.510151690128609,3,"Cuenca",2,"M1","male"
"male",0,5,4,-1.37866358414191,4,"Cuenca",4,"F2","female"
"female",1,1,1,-1.81033059135322,2,"Cuenca",6,"F2","female"
"female",0,4,5,0.765734801272264,4,"Cuenca",1,"M2","male"
"female",1,4,5,1.45298491962723,5,"Loja",2,"F1","female"
"female",0,2,2,-0.867497361854603,4,"Cuenca",3,"M1","male"
"female",0,3,1,-0.571924991559656,4,"Quito",5,"F1","female"
"female",1,3,1,-0.571924991559656,3,"Quito",6,"M2","male"
"female",1,4,5,1.45298491962723,2,"Loja",1,"M1","male"
"female",0,6,1,-1.69399093239921,2,"Other",6,"F2","female"
"male",1,4,3,-0.807753124740956,2,"Quito",3,"F2","female"
"male",0,4,3,-0.23684266534,3,"Cuenca",2,"M2","male"
"male",1,5,2,-0.807753124740956,5,"Loja",3,"F1","female"
"male",0,3,4,0.194824341871308,3,"Quito",3,"M1","male"
"male",0,4,2,-0.807753124740956,5,"Loja",3,"F1","female"
"male",1,4,4,-0.120503006385993,4,"Quito",2,"M2","male"
"male",1,4,4,0.194824341871308,3,"Other",2,"M1","male"
"male",0,4,3,-0.807753124740956,3,"Quito",2,"F2","female"
"female",1,4,6,0.882074460226271,2,"Loja",3,"F2","female"
"female",0,4,4,0.450407453014963,4,"Loja",3,"M2","male"
"female",1,4,4,-0.120503006385993,3,"Other",3,"F1","female"
"female",0,4,4,0.135080104757661,2,"Loja",2,"M1","male"
"female",0,4,5,-0.23684266534,4,"Other",2,"F1","female"
"female",1,4,5,0.274323556947309,5,"Other",1,"M2","male"
"female",1,4,5,0.194824341871308,3,"Loja",2,"M1","male"
"female",0,6,6,0.138228920030948,4,"Loja",3,"F2","female"
"female",1,4,3,-0.552170013597301,3,"Loja",3,"F2","female"
"female",0,5,5,0.765734801272264,4,"Loja",2,"M2","male"
"female",1,4,4,0.194824341871308,4,"Loja",3,"F1","female"
"female",0,4,3,0.194824341871308,3,"Loja",2,"M1","male"
"female",0,5,3,-0.807753124740956,4,"Loja",4,"F1","female"
